SCG ID,Solution Name,Solution Version,Product Name,Product Version,Feature/Component,Implementation Priority,Description/Title,Discussion,Configuration Parameter,Installation Default Value,Baseline Suggested Value,Is the Default?,Action Needed,Setting Location,Potential Functional Impact if Default Value is Changed,PowerCLI Command Assessment,PowerCLI Command Remediation Example
esxi-7.network-bpdu,VMware vSphere,7,VMware ESXi,7.0.3,Base,P0,Enable the Bridge Protocol Data Unit (BPDU) filter on the ESXi host.,"BPDUs (Bridge Protocol Data Units) are used to transmit Spanning Tree Protocol (STP) information and detect network loops. BPDU Guard and Portfast are commonly enabled on the physical switch directly connected to the ESXi host to reduce spanning tree convergence delay.

However, if a BPDU packet is sent from a virtual machine on the ESXi host to the configured physical switch, it can result in a cascading lockout of all uplink interfaces from the ESXi host. To prevent this type of lockout, BPDU Filter can be enabled on the ESXi host to drop any BPDU packets being sent to the physical switch.

It is important to note that Standard and Distributed Virtual Switches do not support STP and do not generate BPDUs.",Net.BlockGuestBPDU,0,1,NO,Modify,"ESXi Advanced
System Settings","Some network-oriented workloads can legitimately generate BPDU packets. The administrator should verify that there are no legitimate BPDU packets generated by virtual machines on the ESXi host prior to enabling BPDU Filter. If BPDU Filter is enabled in this situation, enabling Reject Forged Transmits on the virtual switch port group adds protection against Spanning Tree loops.",Get-VMHost -Name $ESXi | Get-AdvancedSetting Net.BlockGuestBPDU,Get-VMHost -Name $ESXi | Get-AdvancedSetting Net.BlockGuestBPDU | Set-AdvancedSetting -Value 1
esxi-7.network-dvfilter,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,Use of the dvFilter network APIs must be restricted on the ESXi host.,"If you are not using a product such as VMware NSX that utilizes the dvfilter network API, it is recommended not to configure the host to send network information to an IP address. Enabling the API and referencing an IP address that is compromised could potentially provide unauthorized access to the network of other virtual machines (VMs) on the host.

If you are using a product that relies on this API, it is important to verify that the host has been configured correctly to ensure secure network communication.",Net.DVFilterBindIpAddress,"""""","""""",YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Net.DVFilterBindIpAddress,"Get-VMHost -Name $ESXi | Get-AdvancedSetting Net.DVFilterBindIpAddress | Set-AdvancedSetting -Value """""
esxi-7.network-reject-forged-transmit-standardswitch,VMware vSphere,7,VMware ESXi,7.0.3,Standard Switch,P2,All standard switches and their port groups must be configured to reject forged transmits.,"If the MAC address of a virtual machine operating system changes, it allows the operating system to send frames with an impersonated source MAC address, potentially enabling malicious attacks on devices within a network by impersonating an authorized network adapter.

When the ""Forged transmits"" option is set to ""Accept,"" ESXi does not compare the source and effective MAC addresses.

To protect against MAC impersonation, you can set the ""Forged transmits"" option to ""Reject."" In this case, the host compares the source MAC address being transmitted by the guest operating system with the effective MAC address for its virtual machine adapter to check for a match. If the addresses do not match, the ESXi host drops the packet.",N/A,Reject,Reject,YES,Audit,Virtual Switch Settings,"Some workloads, such as clustered applications and network devices/functions, rely on these techniques as a normal part of their operation. If necessary, it is recommended to create a separate port group that allows this behavior, with only authorized virtual machines connected to it.","Get-VMHost -Name $ESXi | Get-VirtualSwitch -Standard | Get-SecurityPolicy | select VirtualSwitch,ForgedTransmits
Get-VMHost -Name $ESXi | Get-VirtualPortGroup -Standard | Get-SecurityPolicy | select VirtualPortGroup,ForgedTransmits","Get-VMHost -Name $ESXi | Get-VirtualSwitch -Standard | Get-SecurityPolicy | Set-SecurityPolicy -ForgedTransmits $false 
Get-VMHost -Name $ESXi | Get-VirtualPortGroup -Standard | Get-SecurityPolicy | Set-SecurityPolicy -ForgedTransmitsInherited $true"
esxi-7.network-reject-mac-changes-standardswitch,VMware vSphere,7,VMware ESXi,7.0.3,Standard Switch,P2,All standard switches and their port groups must be configured to reject guest MAC address changes.,"If the virtual machine operating system changes the MAC address, it can send frames with an impersonated source MAC address, enabling it to stage malicious attacks on devices within a network by impersonating a network adapter authorized by the receiving network. To prevent virtual machines from changing their effective MAC address, measures should be taken to enforce MAC address stability or restrict the ability to modify MAC addresses. This helps mitigate the risk of MAC impersonation and potential malicious activities.",N/A,Reject,Reject,YES,Audit,Virtual Switch Settings,"Some workloads, such as clustered applications, network devices/functions, applications licensed by MAC address, and vCenter Server Reduced Downtime Upgrade, rely on these techniques as a normal part of their operation. If necessary, it is recommended to create a separate port group that allows this behavior, with only authorized virtual machines connected to it.","Get-VMHost -Name $ESXi | Get-VirtualSwitch -Standard | Get-SecurityPolicy | select VirtualSwitch,MacChanges
Get-VMHost -Name $ESXi | Get-VirtualPortGroup -Standard | Get-SecurityPolicy | select VirtualPortGroup,MacChanges","Get-VMHost -Name $ESXi | Get-VirtualSwitch -Standard | Get-SecurityPolicy | Set-SecurityPolicy -MacChanges $false
Get-VMHost -Name $ESXi | Get-VirtualPortGroup -Standard | Get-SecurityPolicy | Set-SecurityPolicy -MacChangesInherited $true"
esxi-7.network-reject-promiscuous-mode-standardswitch,VMware vSphere,7,VMware ESXi,7.0.3,Standard Switch,P2,All standard switches and their port groups must be configured to reject guest promiscuous mode requests.,"When promiscuous mode is enabled for a port group, all virtual machines connected to that port group have the potential to read all packets transmitted across that port group, regardless of the intended recipient.

It is important to consider the potential impact and design considerations before changing the default value of promiscuous mode.",N/A,Reject,Reject,YES,Audit,Virtual Switch Settings,"Certain workloads and types of work, such as DHCP servers, network devices, and security monitoring, incorporate these techniques as a regular part of their operation. If necessary, it is advisable to create a distinct port group that allows this behavior, ensuring that only authorized virtual machines are associated with it.","Get-VMHost -Name $ESXi | Get-VirtualSwitch -Standard | Get-SecurityPolicy | select VirtualSwitch,AllowPromiscuous
Get-VMHost -Name $ESXi | Get-VirtualPortGroup -Standard | Get-SecurityPolicy | select VirtualPortGroup,AllowPromiscuous","Get-VMHost -Name $ESXi | Get-VirtualSwitch -Standard | Get-SecurityPolicy | Set-SecurityPolicy -AllowPromiscuous $false
Get-VMHost -Name $ESXi | Get-VirtualPortGroup -Standard | Get-SecurityPolicy | Set-SecurityPolicy -AllowPromiscuousInherited $true"
esxi-7.network-vgt,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi host must restrict the use of Virtual Guest Tagging (VGT) on Standard Switches.,"When a port group is set to VLAN 4095, the vSwitch passes all network frames to the attached virtual machines (VMs) without modifying the VLAN tags. In vSphere, this is referred to as VGT. The VM must process the VLAN information itself via an 802.1Q driver in the operating system.

VLAN 4095 must only be implemented if the attached VMs have been specifically authorized and are capable of managing VLAN tags themselves. If VLAN 4095 is enabled inappropriately, it may cause denial of service or allow a VM to interact with traffic on an unauthorized VLAN.",N/A,Not Configured,Not Configured,YES,Audit,ESXi Port Group Configuration,None,"Get-VMHost -Name $ESXi | Get-VirtualPortGroup -Standard | select Name,VlanID","Get-VMHost -Name $ESXi | Get-VirtualPortGroup -Standard -Name $PG| Set-VirtualPortGroup -VlanID ""<new VLAN>"""
esxi-7.secureboot,VMware vSphere,7,VMware ESXi,7.0.3,Base,P0,The ESXi host must enable Secure Boot enforcement.,"Secure Boot is part of the UEFI firmware standard. With UEFI Secure Boot enabled, a host refuses to load any UEFI driver or app unless the operating system bootloader has a valid digital signature. Secure Boot for ESXi requires support from the firmware and it requires that all ESXi kernel modules, drivers, and VIBs be signed by VMware or a partner subordinate.

Secure Boot is enabled in the BIOS of the ESXi physical server and supported by the hypervisor boot loader. This control flips ESXi from merely supporting Secure Boot to requiring it. Without this setting enabled, and configuration encryption, an ESXi host could be subject to offline attacks. An attacker could simply transfer the ESXi install drive to a non-Secure Boot host and boot it up without ESXi complaining.",N/A,Site-Specific,Enabled,NO,Modify,ESXi Shell,Use of Secure Boot and TPM-enforced Configuration Encryption render traditional root password recovery efforts unusable. Ensure that you do not lose access to administrator accounts on ESXi.,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.settings.encryption.get.Invoke() | Select RequireSecureBoot","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.settings.encryption.set.CreateArgs()
$arguments.requiresecureboot = $true
$ESXcli.system.settings.encryption.set.Invoke($arguments)"
esxi-7.shell-interactive-timeout,VMware vSphere,7,VMware ESXi,7.0.3,Base,P0,Configure the inactivity timeout to automatically terminate idle ESXi host shells.,"If a user forgets to log out of their SSH session, the idle connection will remain open indefinitely, increasing the potential for someone to gain privileged access to the host.",UserVars.ESXiShellInteractiveTimeOut,0,900,NO,Modify,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.ESXiShellInteractiveTimeOut,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.ESXiShellInteractiveTimeOut | Set-AdvancedSetting -Value 900
esxi-7.shell-timeout,VMware vSphere,7,VMware ESXi,7.0.3,Base,P0,Set a timeout to limit how long the ESXi Shell and SSH services are allowed to run.,The ESXiShellTimeOut defines a window of time after which the ESXi Shell and SSH services will automatically be terminated.,UserVars.ESXiShellTimeOut,0,900,NO,Modify,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.ESXiShellTimeOut,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.ESXiShellTimeOut | Set-AdvancedSetting -Value 900
esxi-7.shell-warning,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi host must not suppress warnings that the ESXi shell is enabled.,"Warnings indicating that SSH or the ESXi Shell is enabled can be clues that an attack is in progress. It is important to ensure that SSH and the ESXi Shell are deactivated, and that this variable is not set.",UserVars.SuppressShellWarning,0,0,YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.SuppressShellWarning,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.SuppressShellWarning | Set-AdvancedSetting -Value 0
esxi-7.supported,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,ESXi host is running software that has not reached End of General Support status.,Ensure that ESXi is a version that has not reached the End of General Support status.,N/A,N/A,N/A,YES,Audit,Compare ESXi build numbers to latest available version on customerconnect.vmware.com,"Always read release notes, test, and deploy using staged rollouts.","Get-VMHost -Name $ESXi | Select-Object Name,Version,Build",N/A
esxi-7.timekeeping-services,VMware vSphere,7,VMware ESXi,7.0.3,Base,P0,ESXi host must have time synchronization services enabled and running.,"Cryptography, audit logging, cluster operations, and incident response/forensics heavily rely on synchronized time. To ensure this, NTP and/or PTP services must be set to start with the host and must be running.",N/A,"Stopped,
Start and stop manually","Running,
Start and stop with host",NO,Modify,ESXi Services Configuration,None,"Get-VMHostService -VMHost $ESXi -ErrorAction:Stop | Where-Object{$_.Key -eq ""ntpd""}
Get-VMHostService -VMHost $ESXi -ErrorAction:Stop | Where-Object{$_.Key -eq ""ntpd""}","Get-VMHostService -VMHost $ESXi -ErrorAction:Stop | Where-Object{$_.Key -eq ""ntpd""} | Set-VMHostService -policy ""on"" -Confirm:$false
Get-VMHostService -VMHost $ESXi -ErrorAction:Stop | Where-Object{$_.Key -eq ""ntpd""} | Restart-VMHostService -Confirm:$false"
esxi-7.timekeeping-sources,VMware vSphere,7,VMware ESXi,7.0.3,Base,P0,ESXi host must have reliable time synchronization sources.,"Cryptography, audit logging, cluster operations, and incident response/forensics heavily rely on synchronized time. The recommended practice for NTP is to have at least four sources. It is not advisable to have only two sources, as having one source is preferable to having two.

Precision Time Protocol (PTP) is an alternative to NTP that offers sub-millisecond time accuracy. PTP has a different architecture compared to NTP and may not provide the same level of resilience in case of primary server failure. It is suggested to configure NTP as a backup source for PTP, ensuring that a time source remains available even if the accuracy is reduced.",N/A,Undefined,"Site-Specific or:
0.vmware.pool.ntp.org,
1.vmware.pool.ntp.org,
2.vmware.pool.ntp.org,
3.vmware.pool.ntp.org",NO,Modify,ESXi Time Configuration,None,Get-VMHostNtpServer -VMHost $ESXi,"$ntp0 = ""0.vmware.pool.ntp.org""
$ntp1 = ""1.vmware.pool.ntp.org""
$ntp2 = ""2.vmware.pool.ntp.org""
$ntp3 = ""3.vmware.pool.ntp.org""

Add-VMHostNTPServer -NtpServer $ntp0 , $ntp1 , $ntp2 , $ntp3 -VMHost $ESXi -Confirm:$false"
esxi-7.tls-protocols,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi host must enable the highest version of TLS supported.,"ESXi 8 ships with TLS 1.2 enabled by default, but it is possible to re-enable other protocols if necessary.",UserVars.ESXiVPsDisabledProtocols,"sslv3,tlsv1,tlsv1.1","sslv3,tlsv1,tlsv1.1",YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.ESXiVPsDisabledProtocols,"Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.ESXiVPsDisabledProtocols | Set-AdvancedSetting -Value ""sslv3,tlsv1,tlsv1.1"""
esxi-7.tpm-configuration,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi host must require TPM-based configuration encryption.,"An ESXi host's configuration consists of configuration files for each service that runs on the host. The configuration files typically reside in the /etc/ directory, but they can also reside in other namespaces. The configuration files contain run-time information about the state of the services. Over time, the default values in the configuration files might change, for example, when settings on the ESXi host are changed.

A cron job backs up the ESXi configuration files periodically, when ESXi shuts down gracefully or on demand, and creates an archived configuration file in the boot bank. When ESXi reboots, it reads the archived configuration file and recreates the state that ESXi was in when the backup was taken.

Before vSphere 7.0 Update 2, the archived ESXi configuration file is not encrypted. In vSphere 7.0 Update 2 and later, the archived configuration file is encrypted. When the ESXi host is configured with a Trusted Platform Module (TPM), the TPM is used to ""seal"" the configuration to the host, providing a strong security guarantee and additional protection from offline attacks.

Configuration encryption uses the physical TPM when it is available and supported at install or upgrade time. If the TPM was added or enabled later, the ESXi host must be told to reconfigure to use the newly available TPM. Once the TPM configuration encryption is enabled, it cannot be deactivated.",N/A,Site-Specific,TPM,NO,Modify,ESXi Shell,Use of Secure Boot and TPM-enforced Configuration Encryption render traditional root password recovery efforts unusable. Ensure that you do not lose access to administrator accounts on ESXi.,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.settings.encryption.get.Invoke() | Select Mode","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.settings.encryption.set.CreateArgs()
$arguments.mode = ""TPM""
$ESXcli.system.settings.encryption.set.Invoke($arguments)"
esxi-7.transparent-page-sharing,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi host must restrict inter-VM transparent page sharing to VMs configured with sched.mem.pshare.salt.,"Transparent Page Sharing (TPS) is a method used to reduce the memory usage of virtual machines. However, under specific conditions, it can potentially be exploited to gain unauthorized access to data on neighboring virtual machines.

Virtual machines that do not have the sched.mem.pshare.salt option set are unable to share memory with any other virtual machines, providing an additional layer of isolation and security.",Mem.ShareForceSalting,2,2,YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Mem.ShareForceSalting,Get-VMHost -Name $ESXi | Get-AdvancedSetting Mem.ShareForceSalting | Set-AdvancedSetting -Value 2
esxi-7.updates,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,ESXi host has all software updates installed.,"By keeping ESXi patches up to date, vulnerabilities in the hypervisor can be mitigated. It is important to note that educated attackers can exploit known vulnerabilities when attempting to gain unauthorized access or elevate privileges on an ESXi host.

When applying updates, it is recommended to update vCenter Server first, if an update is available, and then proceed with updating ESXi. This sequence ensures that the management layer is updated before updating the ESXi hosts.",Product Version & Build Number,N/A,N/A,YES,Audit,Compare ESXi build numbers to latest available version on customerconnect.vmware.com,vSphere Update releases add and change functionality; Patch releases only resolve issues.,"Get-VMHost -Name $ESXi | Select-Object Name,Version,Build",N/A
esxi-7.vib-acceptance-level-supported,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi host image profile acceptance level must be PartnerSupported or higher.,"The acceptance level in ESXi controls what can be installed on the system. There are four levels: VMwareCertified, VMwareAccepted, PartnerSupported, and CommunitySupported.

It is important to note that CommunitySupported VIBs (vSphere Installation Bundles) have not undergone testing by VMware or a VMware partner, and they do not have a digital signature. It is considered risky to install CommunitySupported VIBs as their reliability and security cannot be guaranteed.",N/A,PartnerSupported,PartnerSupported or Higher,NO,Modify,ESXi Security Profile,CommunitySupported packages are unsigned and will not be able to be installed.,(Get-EsxCli -VMHost $ESXi -V2).software.acceptance.get.Invoke(),"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $esxcli.software.acceptance.set.CreateArgs()
$arguments.level = ""PartnerSupported"" # VMwareCertified, VMwareAccepted, PartnerSupported, CommunitySupported
$esxcli.software.acceptance.set.Invoke($arguments)"
esxi-7.vmk-management,VMware vSphere,7,VMware ESXi,7.0.3,Base,P2,The ESXi host must isolate management communications.,"VMkernel network interfaces that are intended for specialized use can be configured with management capabilities, which may defeat network isolation and security efforts. Ensure that only vmk interfaces intended for management have management services enabled.",N/A,Site-Specific,Site-Specific,YES,Audit,ESXi VMkernel Adapters,Some third-party managed solutions may require this.,"Get-VMHostNetworkAdapter -VMHost $ESXi -VMKernel | Select VMHost,Name,IP,ManagementTrafficEnabled",Get-VMHostNetworkAdapter -VMHost $ESXi -Name $vmkernel_interface | Set-VMHostNetworkAdapter -ManagementTrafficEnabled $false
guest-7.secure-boot,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P0,The guest OS must enable Secure Boot.,"Secure Boot, supported by all modern guest OSes, uses public key cryptography to validate firmware, boot loader, drivers, and OS kernel. By preventing system booting with uncertain boot chain validity, it effectively restricts malware.",N/A,Site-Specific,TRUE,NO,Modify,VM Settings,Enabling this after guest OS install may involve more process than just checking the box. Refer to your guest OS documentation for instructions.,(Get-VM -Name $VM).ExtensionData.Config.BootOptions.EfiSecureBootEnabled ,"$VMobj = (Get-VM -Name $VM)
$ConfigSpec = New-Object VMware.Vim.VirtualMachineConfigSpec
$bootOptions = New-Object VMware.Vim.VirtualMachineBootOptions
$bootOptions.EfiSecureBootEnabled = $true
$ConfigSpec.BootOptions = $bootOptions
$task = $VMobj.ExtensionData.ReconfigVM_Task($ConfigSpec)"
guest-7.tools-add-feature,VMware vSphere,7,VMware ESXi,7.0.3,VMware Tools,P0,The guest OS must limit the automatic addition of VMware Tools features.,"VMware Tools automatic upgrade processes can add or remove features from the VMware Tools installation, which can be helpful but also presents an opportunity to alter the security profile of the guest OS from vSphere.",autoupgrade allow-add-feature,true,false,NO,Modify,tools.conf,Administrators will need to use other methods to update and reconfigure VMware Tools when needed.,VMwareToolboxCmd.exe config get autoupgrade allow-add-feature,VMwareToolboxCmd.exe config set autoupgrade allow-add-feature false
guest-7.tools-allow-transforms,VMware vSphere,7,VMware ESXi,7.0.3,VMware Tools,P2,The guest OS must limit the use of MSI transforms when reconfiguring VMware Tools.,MSI transforms allow the installation database on Microsoft Windows guest OSes to be changed. This can be helpful but also presents an opportunity to alter the security profile of the guest OS from vSphere.,autoupgrade allow-msi-transforms,false,false,YES,Audit,tools.conf,Administrators will need to use other methods to update and reconfigure VMware Tools when needed.,VMwareToolboxCmd.exe config get autoupgrade allow-msi-transforms,VMwareToolboxCmd.exe config set autoupgrade allow-msi-transforms false
guest-7.tools-deactivate-appinfo,VMware vSphere,7,VMware ESXi,7.0.3,VMware Tools,P0,The guest OS must deactivate Appinfo information gathering unless required.,Appinfo is a method to do application discovery through VMware Tools. If you are not using this tool deactivate the module to reduce attack surface.,appinfo disabled,false,true,NO,Modify,tools.conf,Products and services within the VMware ecosystem may require this functionality.,VMwareToolboxCmd.exe config get appinfo disabled,VMwareToolboxCmd.exe config set appinfo disabled true
guest-7.tools-deactivate-containerinfo,VMware vSphere,7,VMware ESXi,7.0.3,VMware Tools,P0,The guest OS must deactivate ContainerInfo unless required.,The VMware Tools ContainerInfo plugin for Linux gathers the list of running containers inside a Linux guest operating system.,containerinfo poll-interval,21600,0,NO,Modify,tools.conf,Products and services within the VMware ecosystem may require this functionality.,VMwareToolboxCmd.exe config get containerinfo poll-interval,VMwareToolboxCmd.exe config set containerinfo poll-interval 0
guest-7.tools-deactivate-guestoperations,VMware vSphere,7,VMware ESXi,7.0.3,VMware Tools,Advanced,The guest OS must deactivate Guest Operations unless required.,"Guest Operations are a set of functions that underpin most host-to-guest interaction. Deactivating them reduces attack surface but also drastically reduces functionality. Ensure that your environment does not require these functions. Do not do this on template VMs. For a list of functions see:

https://vdc-download.vmware.com/vmwb-repository/dcr-public/fe08899f-1eec-4d8d-b3bc-a6664c168c2c/7fdf97a1-4c0d-4be0-9d43-2ceebbc174d9/doc/vim.vm.guest.GuestOperationsManager.html",guestoperations disabled,false,true,NO,Modify,tools.conf,Products and services within the VMware ecosystem may require this functionality.,VMwareToolboxCmd.exe config get guestoperations disabled,VMwareToolboxCmd.exe config set guestoperations disabled true
guest-7.tools-deactivate-gueststoreupgrade,VMware vSphere,7,VMware ESXi,7.0.3,VMware Tools,P0,The guest OS must deactivate Guest Store Upgrade operations unless required.,The GuestStore feature provides a simple and flexible mechanism to distribute VMware specific or custom content from a GuestStore repository to multiple guests simultaneously. If you are not using this feature disable the plugin to reduce attack surface.,gueststoreupgrade policy,manual,off,NO,Modify,tools.conf,Products and services within the VMware ecosystem may require this functionality.,VMwareToolboxCmd.exe config get gueststoreupgrade policy,VMwareToolboxCmd.exe config set gueststoreupgrade policy off
guest-7.tools-deactivate-servicediscovery,VMware vSphere,7,VMware ESXi,7.0.3,VMware Tools,P0,The guest OS must deactivate Service Discovery unless required.,The VMware Tools Service Discovery plugin connects to Aria Operations and provides additional data to that product about guests and workloads. If you are not using this feature disable the plugin to reduce attack surface.,servicediscovery disabled,false,true,NO,Modify,tools.conf,Products and services within the VMware ecosystem may require this functionality.,VMwareToolboxCmd.exe config get servicediscovery disabled,VMwareToolboxCmd.exe config set servicediscovery disabled true
guest-7.tools-enable-logging,VMware vSphere,7,VMware ESXi,7.0.3,VMware Tools,P2,The guest OS must enable VMware Tools logging.,"Ensure that VMware Tools is logging information as appropriate. Logging in VMware Tools is very customizable, please see the examples in https://github.com/vmware/open-vm-tools/blob/master/open-vm-tools/tools.conf",logging log,true,true,YES,Audit,tools.conf,None,VMwareToolboxCmd.exe config get logging log,VMwareToolboxCmd.exe config set logging log true
guest-7.tools-enable-syslog,VMware vSphere,7,VMware ESXi,7.0.3,VMware Tools,P0,The guest OS must send VMware Tools logs to the system log service.,"By default, VMware Tools sends logs to a file on disk. By setting this parameter it will send them to syslog on Linux guests and the Windows Event Service on Microsoft Windows guests, wherein they can be monitored, managed, and archived centrally.",logging vmsvc.handler,file,syslog,NO,Modify,tools.conf,Processes that rely on these files being in a default location will need to be updated.,"VMwareToolboxCmd.exe config get logging vmsvc.handler
VMwareToolboxCmd.exe config get logging toolboxcmd.handler
VMwareToolboxCmd.exe config get logging vgauthsvc.handler
VMwareToolboxCmd.exe config get logging vmtoolsd.handler","VMwareToolboxCmd.exe config set logging vmsvc.handler syslog
VMwareToolboxCmd.exe config set logging toolboxcmd.handler syslog
VMwareToolboxCmd.exe config set logging vgauthsvc.handler syslog
VMwareToolboxCmd.exe config set logging vmtoolsd.handler syslog"
guest-7.tools-globalconf,VMware vSphere,7,VMware ESXi,7.0.3,VMware Tools,P2,The guest OS must deactivate GlobalConf unless required.,The GlobalConf feature of VMware Tools provides an ability to push tools.conf configurations to virtual machines.,globalconf enabled,false,false,YES,Audit,tools.conf,Administrators will need to use other methods to update and reconfigure VMware Tools when needed.,VMwareToolboxCmd.exe config get globalconf enabled,VMwareToolboxCmd.exe config set globalconf enabled false
guest-7.tools-prevent-recustomization,VMware vSphere,7,VMware ESXi,7.0.3,VMware Tools,P0,The guest OS on deployed and customized virtual machines must prevent being recustomized.,"The VM deployment process offers many options for vSphere Admins to customize VMs, using scripts and running commands. This can also be an avenue for an adversary to gain access to data inside a VM, by cloning & recustomizing. Once a VM is deployed it should be prevented from being customized again (if you change your mind you can always revert it). Do not do this on template VMs.",deployPkg enable-customization,true,false,NO,Modify,tools.conf,"Once set, VMs will not be able to be customized when they are cloned. Do not set this on template VMs.

This may impact disaster recovery processes that change IP addresses, through VMware Site Recovery Manager or VMware Cloud Disaster Recovery. For more information see: 

https://docs.vmware.com/en/VMware-Cloud-Disaster-Recovery/services/vmware-cloud-disaster-recovery/GUID-94202BE7-FEAF-4E35-8B55-15F6B3798309.html",VMwareToolboxCmd.exe config get deployPkg enable-customization,VMwareToolboxCmd.exe config set deployPkg enable-customization false
guest-7.tools-remove-feature,VMware vSphere,7,VMware ESXi,7.0.3,VMware Tools,P0,The guest OS must limit the automatic removal of VMware Tools features.,"VMware Tools automatic upgrade processes can add or remove features from the VMware Tools installation, which can be helpful but also presents an opportunity to alter the security profile of the guest OS from vSphere.",autoupgrade allow-remove-feature,true,false,NO,Modify,tools.conf,Administrators will need to use other methods to update and reconfigure VMware Tools when needed.,VMwareToolboxCmd.exe config get autoupgrade allow-remove-feature,VMwareToolboxCmd.exe config set autoupgrade allow-remove-feature false
guest-7.tools-updates,VMware vSphere,7,VMware ESXi,7.0.3,VMware Tools,P2,The guest OS must ensure that VMware Tools are updated.,"VMware Tools are an important part of the VMware ecosystem, enabling guest OSes to be shut down gracefully, managed throughout their lifecycle, providing drivers for paravirtualized devices, and helping to deploy and customize VMs from templates. Like all other software the VMware Tools need to be managed and updated. Ensure that you are running a supported version for your guest OS, whether it is delivered as part of the Linux distribution or installed by you for Microsoft Windows.",N/A,N/A,N/A,YES,Audit,VM Status,None,"Get-VM -Name $VM | Select-Object -Property Name,@{Name='ToolsVersion';Expression={$_.Guest.ToolsVersion}}","Site-Specific. Multiple ways to update VMware Tools. Drivers for vmxnet3 and pvscsi are also available natively in Linux, and via Windows Update and in the native Microsoft Windows installer images, please ensure you are importing them into tools such as WSUS."
guest-7.tools-upgrade,VMware vSphere,7,VMware ESXi,7.0.3,VMware Tools,P0,The guest OS must configure automatic VMware Tools upgrades as appropriate for the environment.,"VMware Tools updates can be initiated by vSphere, which can be helpful for maintaining current VMware Tools versions. If VMware Tools is being managed and updated in other ways this functionality should be deactivated. This baseline suggests leaving automatic updates enabled.",autoupgrade allow-upgrade,true,true,YES,Audit,tools.conf,Administrators will need to use other methods to update and reconfigure VMware Tools when needed.,VMwareToolboxCmd.exe config get autoupgrade allow-upgrade,VMwareToolboxCmd.exe config set autoupgrade allow-upgrade true
guest-7.virtual-hardware,VMware vSphere,7,VMware ESXi,7.0.3,Virtual Machine,P0,The guest OS must ensure that virtual machine hardware is version 19 or newer where supported.,"Virtual hardware 19 is compatible with ESXi 7.0 Update 2 and later. Newer versions of virtual hardware enable new features and better performance. Consider upgrading to VM Hardware 20 if you are fully updated to vSphere 8. Other VMware guidance urges caution when upgrading; we urge testing of the process.

Consider all locations that a virtual machine might run, or need to be restored to. For instance, users of the VMware Cloud Disaster Recovery service need to consider the vSphere levels of potential recovery SDDCs. While VMware Cloud runs atop vSphere, it may not have the same supported virtual hardware versions available.

Changes to the configuration of VMware-supplied virtual appliances are not supported and may cause service disruptions.

This entry is intentionally categorized as ""in-guest"" due to the driver and other updates that will occur when a VM is upgraded, despite the impact being minimal.",N/A,Site-Specific,vmx-13 or newer,NO,Modify,VM Compatibility,"Changing VM hardware versions changes device versions inside the guest, which may have repercussions. Test, and remember that snapshots also capture the VM version, too, so it can be reverted.

Changes to the configuration of VMware-supplied virtual appliances are not supported and may cause service disruptions.","(Get-VM -Name $VM | Get-View) | Select-Object -Property Name,@{Name='HW Version';Expression={$_.Config.Version}}",Set-VM -Name $VM -HardwareVersion vmx-19
