control_id,priority,resource_kind,adapter_kind,parameter,parameter_kind,value_type,expected_value,title,description,source_ref,remediation_text,read_recipe
esx.timekeeping-services,P0,HostSystem,VMWARE,service.ntpd.running,vim_property,boolean,true,ESXi host must have time synchronization services enabled and running.,"Cryptography, audit logging, cluster operations, and incident response/forensics heavily rely on synchronized time. To ensure this, NTP and/or PTP services must be set to start with the host and must be running.",SCG-7.0:esxi-7.timekeeping-services,"Get-VMHostService -VMHost $ESXi -ErrorAction:Stop | Where-Object{$_.Key -eq ""ntpd""} | Set-VMHostService -policy ""on"" -Confirm:$false ; Get-VMHostService -VMHost $ESXi -ErrorAction:Stop | Where-Object{$_.Key -eq ""ntpd""} | Restart-VMHostService -Confirm:$false",service_state:ntpd:running
esx.timekeeping-sources,P0,HostSystem,VMWARE,config.dateTimeInfo.ntpConfig.server,vim_property,string,(non-empty),ESXi host must have reliable time synchronization sources.,"Cryptography, audit logging, cluster operations, and incident response/forensics heavily rely on synchronized time. The recommended practice for NTP is to have at least four sources. It is not advisable to have only two sources, as having one source is preferable to having two.

Precision Time Protocol (PTP) is an alternative to NTP that offers sub-millisecond time accuracy. PTP has a different architecture compared to NTP and may not provide the same level of resilience in case of primary server failure. It is suggested to configure NTP as a backup source for PTP, ensuring that a time source remains available even if the accuracy is reduced.",SCG-7.0:esxi-7.timekeeping-sources,"$ntp0 = ""0.vmware.pool.ntp.org"" ; $ntp1 = ""1.vmware.pool.ntp.org"" ; $ntp2 = ""2.vmware.pool.ntp.org"" ; $ntp3 = ""3.vmware.pool.ntp.org"" ; ; Add-VMHostNTPServer -NtpServer $ntp0 , $ntp1 , $ntp2 , $ntp3 -VMHost $ESXi -Confirm:$false",string_list_join:config.dateTimeInfo.ntpConfig.server
esx.tls-protocols,P2,HostSystem,VMWARE,UserVars.ESXiVPsDisabledProtocols,advanced_setting,string,"sslv3,tlsv1,tlsv1.1",The ESXi host must enable the highest version of TLS supported.,"ESXi 8 ships with TLS 1.2 enabled by default, but it is possible to re-enable other protocols if necessary.",SCG-7.0:esxi-7.tls-protocols,"Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.ESXiVPsDisabledProtocols | Set-AdvancedSetting -Value ""sslv3,tlsv1,tlsv1.1""",
esx.tpm-configuration,P2,HostSystem,VMWARE,encryption.Mode,esxcli,string,TPM,The ESXi host must require TPM-based configuration encryption.,"An ESXi host's configuration consists of configuration files for each service that runs on the host. The configuration files typically reside in the /etc/ directory, but they can also reside in other namespaces. The configuration files contain run-time information about the state of the services. Over time, the default values in the configuration files might change, for example, when settings on the ESXi host are changed.

A cron job backs up the ESXi configuration files periodically, when ESXi shuts down gracefully or on demand, and creates an archived configuration file in the boot bank. When ESXi reboots, it reads the archived configuration file and recreates the state that ESXi was in when the backup was taken.

Before vSphere 7.0 Update 2, the archived ESXi configuration file is not encrypted. In vSphere 7.0 Update 2 and later, the archived configuration file is encrypted. When the ESXi host is configured with a Trusted Platform Module (TPM), the TPM is used to ""seal"" the configuration to the host, providing a strong security guarantee and additional protection from offline attacks.

Configuration encryption uses the physical TPM when it is available and supported at install or upgrade time. If the TPM was added or enabled later, the ESXi host must be told to reconfigure to use the newly available TPM. Once the TPM configuration encryption is enabled, it cannot be deactivated.",SCG-7.0:esxi-7.tpm-configuration,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2 ; $arguments = $ESXcli.system.settings.encryption.set.CreateArgs() ; $arguments.mode = ""TPM"" ; $ESXcli.system.settings.encryption.set.Invoke($arguments)",esxcli:system.settings.encryption.get:Mode
esx.transparent-page-sharing,P2,HostSystem,VMWARE,Mem.ShareForceSalting,advanced_setting,integer,2,The ESXi host must restrict inter-VM transparent page sharing to VMs configured with sched.mem.pshare.salt.,"Transparent Page Sharing (TPS) is a method used to reduce the memory usage of virtual machines. However, under specific conditions, it can potentially be exploited to gain unauthorized access to data on neighboring virtual machines.

Virtual machines that do not have the sched.mem.pshare.salt option set are unable to share memory with any other virtual machines, providing an additional layer of isolation and security.",SCG-7.0:esxi-7.transparent-page-sharing,Get-VMHost -Name $ESXi | Get-AdvancedSetting Mem.ShareForceSalting | Set-AdvancedSetting -Value 2,
esx.updates,P2,HostSystem,VMWARE,Product Version & Build Number,powercli_only,string,N/A,ESXi host has all software updates installed.,"By keeping ESXi patches up to date, vulnerabilities in the hypervisor can be mitigated. It is important to note that educated attackers can exploit known vulnerabilities when attempting to gain unauthorized access or elevate privileges on an ESXi host.

When applying updates, it is recommended to update vCenter Server first, if an update is available, and then proceed with updating ESXi. This sequence ensures that the management layer is updated before updating the ESXi hosts.",SCG-7.0:esxi-7.updates,N/A,
esx.vib-acceptance-level-supported,P2,HostSystem,VMWARE,,esxcli,string,PartnerSupported or Higher,The ESXi host image profile acceptance level must be PartnerSupported or higher.,"The acceptance level in ESXi controls what can be installed on the system. There are four levels: VMwareCertified, VMwareAccepted, PartnerSupported, and CommunitySupported.

It is important to note that CommunitySupported VIBs (vSphere Installation Bundles) have not undergone testing by VMware or a VMware partner, and they do not have a digital signature. It is considered risky to install CommunitySupported VIBs as their reliability and security cannot be guaranteed.",SCG-7.0:esxi-7.vib-acceptance-level-supported,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2 ; $arguments = $esxcli.software.acceptance.set.CreateArgs() ; $arguments.level = ""PartnerSupported"" # VMwareCertified, VMwareAccepted, PartnerSupported, CommunitySupported ; $esxcli.software.acceptance.set.Invoke($arguments)",
esx.vmk-management,P2,HostSystem,VMWARE,,powercli_only,string,Site-Specific,The ESXi host must isolate management communications.,"VMkernel network interfaces that are intended for specialized use can be configured with management capabilities, which may defeat network isolation and security efforts. Ensure that only vmk interfaces intended for management have management services enabled.",SCG-7.0:esxi-7.vmk-management,Get-VMHostNetworkAdapter -VMHost $ESXi -Name $vmkernel_interface | Set-VMHostNetworkAdapter -ManagementTrafficEnabled $false,
vm.secure-boot,P0,VirtualMachine,VMWARE,config.bootOptions.efiSecureBootEnabled,vim_property,boolean,true,The guest OS must enable Secure Boot.,"Secure Boot, supported by all modern guest OSes, uses public key cryptography to validate firmware, boot loader, drivers, and OS kernel. By preventing system booting with uncertain boot chain validity, it effectively restricts malware.",SCG-7.0:guest-7.secure-boot,$VMobj = (Get-VM -Name $VM) ; $ConfigSpec = New-Object VMware.Vim.VirtualMachineConfigSpec ; $bootOptions = New-Object VMware.Vim.VirtualMachineBootOptions ; $bootOptions.EfiSecureBootEnabled = $true ; $ConfigSpec.BootOptions = $bootOptions ; $task = $VMobj.ExtensionData.ReconfigVM_Task($ConfigSpec),bool:config.bootOptions.efiSecureBootEnabled
vm.tools-add-feature,P0,VirtualMachine,VMWARE,autoupgrade allow-add-feature,powercli_only,boolean,false,The guest OS must limit the automatic addition of VMware Tools features.,"VMware Tools automatic upgrade processes can add or remove features from the VMware Tools installation, which can be helpful but also presents an opportunity to alter the security profile of the guest OS from vSphere.",SCG-7.0:guest-7.tools-add-feature,VMwareToolboxCmd.exe config set autoupgrade allow-add-feature false,
vm.tools-allow-transforms,P2,VirtualMachine,VMWARE,autoupgrade allow-msi-transforms,powercli_only,boolean,false,The guest OS must limit the use of MSI transforms when reconfiguring VMware Tools.,MSI transforms allow the installation database on Microsoft Windows guest OSes to be changed. This can be helpful but also presents an opportunity to alter the security profile of the guest OS from vSphere.,SCG-7.0:guest-7.tools-allow-transforms,VMwareToolboxCmd.exe config set autoupgrade allow-msi-transforms false,
vm.tools-deactivate-appinfo,P0,VirtualMachine,VMWARE,appinfo disabled,powercli_only,boolean,true,The guest OS must deactivate Appinfo information gathering unless required.,Appinfo is a method to do application discovery through VMware Tools. If you are not using this tool deactivate the module to reduce attack surface.,SCG-7.0:guest-7.tools-deactivate-appinfo,VMwareToolboxCmd.exe config set appinfo disabled true,
vm.tools-deactivate-containerinfo,P0,VirtualMachine,VMWARE,containerinfo poll-interval,powercli_only,integer,0,The guest OS must deactivate ContainerInfo unless required.,The VMware Tools ContainerInfo plugin for Linux gathers the list of running containers inside a Linux guest operating system.,SCG-7.0:guest-7.tools-deactivate-containerinfo,VMwareToolboxCmd.exe config set containerinfo poll-interval 0,
vm.tools-deactivate-guestoperations,P2,VirtualMachine,VMWARE,guestoperations disabled,powercli_only,boolean,true,The guest OS must deactivate Guest Operations unless required.,"Guest Operations are a set of functions that underpin most host-to-guest interaction. Deactivating them reduces attack surface but also drastically reduces functionality. Ensure that your environment does not require these functions. Do not do this on template VMs. For a list of functions see:

https://vdc-download.vmware.com/vmwb-repository/dcr-public/fe08899f-1eec-4d8d-b3bc-a6664c168c2c/7fdf97a1-4c0d-4be0-9d43-2ceebbc174d9/doc/vim.vm.guest.GuestOperationsManager.html",SCG-7.0:guest-7.tools-deactivate-guestoperations,VMwareToolboxCmd.exe config set guestoperations disabled true,
vm.tools-deactivate-gueststoreupgrade,P0,VirtualMachine,VMWARE,gueststoreupgrade policy,powercli_only,string,off,The guest OS must deactivate Guest Store Upgrade operations unless required.,The GuestStore feature provides a simple and flexible mechanism to distribute VMware specific or custom content from a GuestStore repository to multiple guests simultaneously. If you are not using this feature disable the plugin to reduce attack surface.,SCG-7.0:guest-7.tools-deactivate-gueststoreupgrade,VMwareToolboxCmd.exe config set gueststoreupgrade policy off,
vm.tools-deactivate-servicediscovery,P0,VirtualMachine,VMWARE,servicediscovery disabled,powercli_only,boolean,true,The guest OS must deactivate Service Discovery unless required.,The VMware Tools Service Discovery plugin connects to Aria Operations and provides additional data to that product about guests and workloads. If you are not using this feature disable the plugin to reduce attack surface.,SCG-7.0:guest-7.tools-deactivate-servicediscovery,VMwareToolboxCmd.exe config set servicediscovery disabled true,
vm.tools-enable-logging,P2,VirtualMachine,VMWARE,logging log,powercli_only,boolean,true,The guest OS must enable VMware Tools logging.,"Ensure that VMware Tools is logging information as appropriate. Logging in VMware Tools is very customizable, please see the examples in https://github.com/vmware/open-vm-tools/blob/master/open-vm-tools/tools.conf",SCG-7.0:guest-7.tools-enable-logging,VMwareToolboxCmd.exe config set logging log true,
vm.tools-enable-syslog,P0,VirtualMachine,VMWARE,logging vmsvc.handler,powercli_only,string,syslog,The guest OS must send VMware Tools logs to the system log service.,"By default, VMware Tools sends logs to a file on disk. By setting this parameter it will send them to syslog on Linux guests and the Windows Event Service on Microsoft Windows guests, wherein they can be monitored, managed, and archived centrally.",SCG-7.0:guest-7.tools-enable-syslog,VMwareToolboxCmd.exe config set logging vmsvc.handler syslog ; VMwareToolboxCmd.exe config set logging toolboxcmd.handler syslog ; VMwareToolboxCmd.exe config set logging vgauthsvc.handler syslog ; VMwareToolboxCmd.exe config set logging vmtoolsd.handler syslog,
vm.tools-globalconf,P2,VirtualMachine,VMWARE,globalconf enabled,powercli_only,boolean,false,The guest OS must deactivate GlobalConf unless required.,The GlobalConf feature of VMware Tools provides an ability to push tools.conf configurations to virtual machines.,SCG-7.0:guest-7.tools-globalconf,VMwareToolboxCmd.exe config set globalconf enabled false,
vm.tools-prevent-recustomization,P0,VirtualMachine,VMWARE,deployPkg enable-customization,powercli_only,boolean,false,The guest OS on deployed and customized virtual machines must prevent being recustomized.,"The VM deployment process offers many options for vSphere Admins to customize VMs, using scripts and running commands. This can also be an avenue for an adversary to gain access to data inside a VM, by cloning & recustomizing. Once a VM is deployed it should be prevented from being customized again (if you change your mind you can always revert it). Do not do this on template VMs.",SCG-7.0:guest-7.tools-prevent-recustomization,VMwareToolboxCmd.exe config set deployPkg enable-customization false,
vm.tools-remove-feature,P0,VirtualMachine,VMWARE,autoupgrade allow-remove-feature,powercli_only,boolean,false,The guest OS must limit the automatic removal of VMware Tools features.,"VMware Tools automatic upgrade processes can add or remove features from the VMware Tools installation, which can be helpful but also presents an opportunity to alter the security profile of the guest OS from vSphere.",SCG-7.0:guest-7.tools-remove-feature,VMwareToolboxCmd.exe config set autoupgrade allow-remove-feature false,
vm.tools-updates,P2,VirtualMachine,VMWARE,,powercli_only,string,N/A,The guest OS must ensure that VMware Tools are updated.,"VMware Tools are an important part of the VMware ecosystem, enabling guest OSes to be shut down gracefully, managed throughout their lifecycle, providing drivers for paravirtualized devices, and helping to deploy and customize VMs from templates. Like all other software the VMware Tools need to be managed and updated. Ensure that you are running a supported version for your guest OS, whether it is delivered as part of the Linux distribution or installed by you for Microsoft Windows.",SCG-7.0:guest-7.tools-updates,"Site-Specific. Multiple ways to update VMware Tools. Drivers for vmxnet3 and pvscsi are also available natively in Linux, and via Windows Update and in the native Microsoft Windows installer images, please ensure you are importing them into tools such as WSUS.",
vm.tools-upgrade,P0,VirtualMachine,VMWARE,autoupgrade allow-upgrade,powercli_only,boolean,true,The guest OS must configure automatic VMware Tools upgrades as appropriate for the environment.,"VMware Tools updates can be initiated by vSphere, which can be helpful for maintaining current VMware Tools versions. If VMware Tools is being managed and updated in other ways this functionality should be deactivated. This baseline suggests leaving automatic updates enabled.",SCG-7.0:guest-7.tools-upgrade,VMwareToolboxCmd.exe config set autoupgrade allow-upgrade true,
vm.virtual-hardware,P0,VirtualMachine,VMWARE,config.version,vim_property,string,vmx-13 or newer,The guest OS must ensure that virtual machine hardware is version 19 or newer where supported.,"Virtual hardware 19 is compatible with ESXi 7.0 Update 2 and later. Newer versions of virtual hardware enable new features and better performance. Consider upgrading to VM Hardware 20 if you are fully updated to vSphere 8. Other VMware guidance urges caution when upgrading; we urge testing of the process.

Consider all locations that a virtual machine might run, or need to be restored to. For instance, users of the VMware Cloud Disaster Recovery service need to consider the vSphere levels of potential recovery SDDCs. While VMware Cloud runs atop vSphere, it may not have the same supported virtual hardware versions available.

Changes to the configuration of VMware-supplied virtual appliances are not supported and may cause service disruptions.

This entry is intentionally categorized as ""in-guest"" due to the driver and other updates that will occur when a VM is upgraded, despite the impact being minimal. [COVERAGE: this adapter reads config.version (e.g. ""vmx-21"") and scores the VM compliant when its hardware version is at or above the baseline minimum (the ""or newer"" / ""or higher"" floor), non-compliant below it. See UNAUDITED_CONTROLS.md.]",SCG-7.0:guest-7.virtual-hardware,Set-VM -Name $VM -HardwareVersion vmx-19,scalar:config.version
vc.administration-client-session-timeout,P0,VCenterAdapterInstance,VMWARE,"""Session Timeout""",manual_audit,string,15 minutes,The vCenter Server must terminate vSphere Client sessions after 15 minutes of inactivity.,"Idle vSphere Client sessions can be left open indefinitely if a user forgets to log out, thereby increasing the risk of unauthorized privileged access.",SCG-7.0:vcenter-7.administration-client-session-timeout,N/A,
vc.administration-failed-login-interval,P1,VCenterAdapterInstance,VMWARE,Time interval between failures,powercli_only,integer,900,The vCenter Server must set the interval for counting failed login attempts to at least 15 minutes.,"By limiting the number of failed login attempts, the risk of unauthorized access via user password guessing, otherwise known as brute-forcing, is reduced.",SCG-7.0:vcenter-7.administration-failed-login-interval,Get-SsoLockoutPolicy | Set-SsoLockoutPolicy -FailedAttemptIntervalSec 900,
vc.administration-login-message-details,P1,VCenterAdapterInstance,VMWARE,"""Details of Login Message""",powercli_only,string,Consult your organization's legal advisors for text that is applicable to your environment.,Configure the vCenter Server login banner details for the vSphere Client.,"vCenter Server can display a login message, which serves to deter illegal activities and communicate system usage obligations to authorized users. This configuration sets the detailed text linked from the vSphere Client login page message.",SCG-7.0:vcenter-7.administration-login-message-details,"N/A (No public API available) ; ; Can be configured using ""/opt/vmware/bin/sso-config.sh -set_logon_banner -title <logon_banner_title> <logonBannerFile>"" from an appliance shell. Please deactivate the shell again when you are done.",
vc.administration-login-message-enable,P1,VCenterAdapterInstance,VMWARE,"""Show Login Message""",powercli_only,boolean,TRUE,Enable the vCenter Server login banner for the vSphere Client.,"vCenter Server can show a login message, useful for deterring intruders and communicating usage obligations to authorized users. This configuration enables the display of this message on the vSphere Client login page.",SCG-7.0:vcenter-7.administration-login-message-enable,"N/A (No public API available) ; ; Can be configured using ""/opt/vmware/bin/sso-config.sh -set_logon_banner -title <logon_banner_title> <logonBannerFile>"" from an appliance shell. Please deactivate the shell again when you are done.",
vc.administration-login-message-text,P1,VCenterAdapterInstance,VMWARE,"""Login Message""",powercli_only,string,Consult your organization's legal advisors for specific text.,Configure the vCenter Server login banner text for the vSphere Client.,"vCenter Server allows a login message, which deters intruders and communicates obligations to authorized users. This configuration establishes the text displayed on the vSphere Client login page.",SCG-7.0:vcenter-7.administration-login-message-text,"N/A (No public API available) ; ; Can be configured using ""/opt/vmware/bin/sso-config.sh -set_logon_banner -title <logon_banner_title> <logonBannerFile>"" from an appliance shell. Please deactivate the shell again when you are done.",
vc.administration-sso-groups,P0,VCenterAdapterInstance,VMWARE,,manual_audit,string,Not Configured,The vCenter Server must separate authentication and authorization for administrators.,"Combining authentication and authorization, as done in services like Active Directory, risks infrastructure breaches if compromised. Hence, vCenter Server should segregate these for administrators. Consider local SSO groups for authorization to better manage risk where feasible.",SCG-7.0:vcenter-7.administration-sso-groups,N/A,
vc.administration-sso-lockout-policy-max-attempts,P2,VCenterAdapterInstance,VMWARE,Maximum number of failed login attempts,powercli_only,integer,5,The vCenter Server must lock an account after a specified number of failed login attempts.,"Repeated failed logins for an account may signal security issues. To limit brute force attempts, lock the account after a certain threshold, balancing between avoiding automatic connection retries and potential denial-of-service attacks.",SCG-7.0:vcenter-7.administration-sso-lockout-policy-max-attempts,Get-SsoLockoutPolicy | Set-SsoLockoutPolicy -MaxFailedAttempts 5,
vc.administration-sso-lockout-policy-unlock-time,P2,VCenterAdapterInstance,VMWARE,Unlock time,powercli_only,integer,0,The vCenter Server must unlock accounts after a specified timeout period.,Repeated failed logins may suggest security threats. Due to the importance of vCenter Server accounts should not automatically unlock when they have been locked due to multiple login failures. Ensure that you have your administrator@vsphere.local information and that it is valid.,SCG-7.0:vcenter-7.administration-sso-lockout-policy-unlock-time,Get-SsoLockoutPolicy | Set-SsoLockoutPolicy -AutoUnlockIntervalSec 0,
vc.administration-sso-password-lifetime,P1,VCenterAdapterInstance,VMWARE,Maximum Lifetime,powercli_only,integer,9999,The vCenter Server must be configured with an appropriate maximum password age.,"Modern best practices for passwords (NIST 800-63B Section 5.1.1.2, among other guidance) indicates that with adequate password entropy, security is not improved by arbitrarily requiring users to change their passwords at certain intervals. Many automated security tools and regulatory compliance frameworks do not reflect this guidance, and may override this recommendation.",SCG-7.0:vcenter-7.administration-sso-password-lifetime,Get-SsoPasswordPolicy | Set-SsoPasswordPolicy -PasswordLifetimeDays 9999,
vc.administration-sso-password-policy,P1,VCenterAdapterInstance,VMWARE,"Maximum Length,
Minimum Length,
Character Requirements",manual_audit,string,Maximum Length: 64,The vCenter Server must enforce password complexity.,"Modern best practices for passwords (NIST 800-63B Section 5.1.1.2, among other guidance) suggests that composition rules (requiring mixtures of character classes, for example) should not be imposed on systems because they tend to not improve the security of passwords and discourage the use of more secure passphrases. Many regulatory compliance frameworks do not reflect this guidance, and may override this recommendation.

Password strength and complexity rules apply to accounts created in vSphere SSO, including administrator@vsphere.local. They do not apply to Active Directory users when vCenter Server is joined to a domain, as those password policies are enforced by AD.",SCG-7.0:vcenter-7.administration-sso-password-policy,Get-SsoPasswordPolicy | Set-SsoPasswordPolicy -MinLength 15 -MaxLength 64 -MinNumericCount 1 -MinSpecialCharCount 1 -MinAlphabeticCount 2 -MinUppercaseCount 1 -MinLowercaseCount 1 -MaxIdenticalAdjacentCharacters 3,
vc.administration-sso-password-reuse,P2,VCenterAdapterInstance,VMWARE,Restrict Reuse,powercli_only,integer,5,Configure the password history setting to restrict the reuse of passwords on the vCenter Server.,Password complexity rules may lead users to reuse old passwords. Configuring the password history setting on the vCenter Server can help prevent this.,SCG-7.0:vcenter-7.administration-sso-password-reuse,Get-SsoPasswordPolicy | Set-SsoPasswordPolicy -ProhibitedPreviousPasswordsCount 5,
vc.etc-issue,P1,VCenterAdapterInstance,VMWARE,etc.issue,advanced_setting,string,Consult your organization's legal advisors for text that is applicable to your environment.,Configure the vCenter Server login banner text for access via SSH.,"vCenter Server allows a login message, which deters intruders and communicates obligations to authorized users. This configuration establishes the text displayed when a client connects via SSH. The default text leaks information to attackers about system configuration and should be changed.",SCG-7.0:vcenter-7.etc-issue,"Get-AdvancedSetting -Entity $VC -Name etc.issue | Set-AdvancedSetting -Value ""Authorized users only. Actual or attempted unauthorized use of this system is prohibited and may result in criminal, civil, security, or administrative proceedings and/or penalties. Use of this information system indicates consent to monitoring and recording, without notice or permission. Users have no expectation of privacy in any use of this system. Any information stored on, or transiting this system, or obtained by monitoring and/or recording, may be disclosed to law enforcement and/or used in accordance with Federal law, State statute, and organization policy. If you are not an authorized user of this system, exit the system at this time.""",
vc.events-database-retention,P2,VCenterAdapterInstance,VMWARE,Task Retention,manual_audit,integer,30,The vCenter server must have task and event retention set to an apppropriate interval.,"vCenter Server retains task and event data, which ages out to save storage space. The age is configurable. This only impacts local storage of event data on the vCenter Server Appliance.",SCG-7.0:vcenter-7.events-database-retention,N/A,
vc.events-remote-logging,P2,VCenterAdapterInstance,VMWARE,vpxd.event.syslog.enabled,advanced_setting,boolean,true,Enable remote logging of vCenter Server events.,Remote logging to a central host enhances vCenter Server's security by storing logs securely. It simplifies monitoring across hosts and supports aggregate analysis for detecting coordinated attacks. Centralized logging prevents tampering and serves as a reliable long-term audit record.,SCG-7.0:vcenter-7.events-remote-logging,Get-AdvancedSetting -Entity $VC -Name vpxd.event.syslog.enabled | Set-AdvancedSetting -Value true,
vc.logs-level-global,P2,VCenterAdapterInstance,VMWARE,config.log.level,advanced_setting,string,info,The vCenter Server must produce audit records containing information to establish what type of events occurred.,It is important to ensure that sufficient information is present in audit logs for diagnostics and forensics purposes.,SCG-7.0:vcenter-7.logs-level-global,Get-AdvancedSetting -Entity $VC -Name config.log.level | Set-AdvancedSetting -Value info,
dvpg.network-reject-forged-transmit-dvportgroup,P2,DistributedVirtualPortgroup,VMWARE,securityPolicy.forgedTransmits,vim_property,string,Reject,All distributed switches and their port groups must be configured to reject forged transmits.,"A virtual machine can impersonate network adaptors by changing MAC addresses, posing security threats. By setting the Forged Transmits option to Reject on all distributed switches and port groups, ESXi verifies MAC addresses and prevents such impersonation.",SCG-7.0:vcenter-7.network-reject-forged-transmit-dvportgroup,Get-VDSwitch -Name $VDS | Get-VDSecurityPolicy | Set-VDSecurityPolicy -ForgedTransmits $false ; Get-VDPortgroup -Name $VDPG | Get-VDSecurityPolicy | Set-VDSecurityPolicy -ForgedTransmits $false,bool_policy:config.defaultPortConfig.securityPolicy.forgedTransmits
dvpg.network-reject-mac-changes-dvportgroup,P2,DistributedVirtualPortgroup,VMWARE,securityPolicy.macChanges,vim_property,string,Reject,All distributed switches and their port groups must be configured to reject guest MAC address changes.,"Allowing virtual machines to change MAC addresses poses security risks, enabling potential network adaptor impersonation. Rejecting MAC changes on all distributed switches and port groups prevents this, but may impact certain applications like Microsoft Clustering or MAC address-dependent licensing. Exceptions should be made as necessary.",SCG-7.0:vcenter-7.network-reject-mac-changes-dvportgroup,Get-VDSwitch -Name $VDS | Get-VDSecurityPolicy | Set-VDSecurityPolicy -MacChanges $false ; Get-VDPortgroup -Name $VDPG | Get-VDSecurityPolicy | Set-VDSecurityPolicy -MacChanges $false,bool_policy:config.defaultPortConfig.securityPolicy.macChanges
dvpg.network-reject-promiscuous-mode-dvportgroup,P2,DistributedVirtualPortgroup,VMWARE,securityPolicy.allowPromiscuous,vim_property,string,Reject,All distributed switches and their port groups must be configured to reject guest promiscuous mode requests.,"Enabling promiscuous mode on a port group allows all connected virtual machines to read all network packets, posing a potential security risk. Although sometimes necessary for debugging or monitoring, the default setting - reject - is recommended. Exceptions can be made for specific port groups as required.",SCG-7.0:vcenter-7.network-reject-promiscuous-mode-dvportgroup,Get-VDSwitch -Name $VDS | Get-VDSecurityPolicy | Set-VDSecurityPolicy -AllowPromiscuous $false ; Get-VDPortgroup -Name $VDPG | Get-VDSecurityPolicy | Set-VDSecurityPolicy -AllowPromiscuous $false,bool_policy:config.defaultPortConfig.securityPolicy.allowPromiscuous
dvpg.network-reset-port,P2,DistributedVirtualPortgroup,VMWARE,config.policy.portConfigResetAtDisconnect,vim_property,boolean,true,The vCenter Server must reset port configuration when virtual machines are disconnected.,"When a virtual machine is disconnected from the virtual switch port it is desirable to reset the port configuration, so that another virtual machine that attaches has a port in a known state.",SCG-7.0:vcenter-7.network-reset-port,$VDPGview = Get-VDPortgroup -Name $VDPG | Get-View ; $ConfigSpec = New-Object VMware.Vim.DVPortgroupConfigSpec ; $ConfigSpec.DefaultPortConfig = New-Object VMware.Vim.VMwareDVSPortSetting ; $ConfigSpec.Policy = New-Object VMware.Vim.VMwareDVSPortgroupPolicy ; $ConfigSpec.Policy.PortConfigResetAtDisconnect = $true ; $ConfigSpec.ConfigVersion = $VDPGview.Config.ConfigVersion ; $VDPGview.ReconfigureDVPortgroup_Task($ConfigSpec),bool:config.policy.portConfigResetAtDisconnect
vds.network-restrict-discovery-protocol,P1,DistributedVirtualSwitch,VMWARE,config.linkDiscoveryProtocolConfig.operation,vim_property,string,none,The vCenter Server must deactivate CDP/LLDP on distributed switches.,"vSphere Distributed Virtual Switch can engage in CDP or LLDP, potentially sharing sensitive unencrypted information, like IP addresses and system names, on the network. As it can aid adversaries in understanding or impersonating your environment, It is recommended to keep it deactivated unless necessary.",SCG-7.0:vcenter-7.network-restrict-discovery-protocol,$VDview = Get-VDSwitch -Name $VDS | Get-View ; $ConfigSpec = New-Object VMware.Vim.VMwareDVSConfigSpec ; $ConfigSpec.LinkDiscoveryProtocolConfig = New-Object VMware.Vim.LinkDiscoveryProtocolConfig ; $ConfigSpec.LinkDiscoveryProtocolConfig.Protocol = 'cdp' ; $ConfigSpec.LinkDiscoveryProtocolConfig.Operation = 'none' ; $ConfigSpec.ConfigVersion = $VDview.Config.ConfigVersion ; $VDview.ReconfigureDvs_Task($ConfigSpec),scalar:config.linkDiscoveryProtocolConfig.operation
vds.network-restrict-netflow-usage,P2,DistributedVirtualSwitch,VMWARE,config.defaultPortConfig.ipfixEnabled,vim_property,boolean,false,The vCenter Server must ensure that NetFlow traffic is being sent to authorized collectors.,"vSphere Distributed Switch can export unencrypted NetFlow data, revealing details about virtual network and traffic patterns. It is essential to verify that NetFlow usage is authorized and correctly configured to prevent information leaks.",SCG-7.0:vcenter-7.network-restrict-netflow-usage,$VDPGview = Get-VDPortgroup -Name $VDPG | Get-View ; $ConfigSpec = New-Object VMware.Vim.DVPortgroupConfigSpec ; $ConfigSpec.DefaultPortConfig = New-Object VMware.Vim.VMwareDVSPortSetting ; $ConfigSpec.DefaultPortConfig.IpfixEnabled = New-Object VMware.Vim.BoolPolicy ; $ConfigSpec.DefaultPortConfig.IpfixEnabled.Inherited = $false ; $ConfigSpec.DefaultPortConfig.IpfixEnabled.Value = $false ; $ConfigSpec.ConfigVersion = $VDPGview.Config.ConfigVersion ; $VDPGview.ReconfigureDVPortgroup_Task($ConfigSpec),bool_policy:config.defaultPortConfig.ipfixEnabled
